cloud
0 3 b O O O m O O O j O O O 0 | 8l 2g 1a 1c 4j 4k 1d 1b | Li 0.46 As 0.04 P 0.04 Se 0.31 I 0.15
0 3 b O O O g O O O j O O O 0 | 1a 1b | Cd 0.5 Ga 0.25 Rh 0.25
1 3 a E C C n O O O e O O O 0 | 3a 6c 9d 18h | Li 0.06 Sm 0.11 P 0.17 Pt 0.67
1 2 a D D O c O O O 0 | 2c 4e 2d | Ti 0.25 V 0.5 Pd 0.25
1 3 a E C C n O O O e O O O 0 | 3a 6c 3b | Re 0.25 Mo 0.5 Pb 0.25
0 3 a E C C n O O O k O O O 0 | 3a | Ca 0.5 Nb 0.25 Ir 0.25
1 3 a E C C n O O O e O O O 0 | 3a 3b 6c | Gd 0.25 Zn 0.25 Te 0.5
1 2 a D D O c O O O 0 | 2c 4e 2d | Nb 0.25 Fe 0.5 Ni 0.25
1 2 a D D O c O O O 0 | 4g 2a 4h 2d 8j 4i | Pm 0.17 Y 0.08 Th 0.25 Se 0.5
1 1 c O D D 0 | 2b 2c 4e | Y 0.1 Ta 0.1 Cd 0.2 O 0.6
0 3 n O O O i O O O k O O O 0 | 1f 1c 1b 1a | Sr 0.25 Tl 0.25 P 0.25 Ru 0.25
1 6 a O D D a D O D b O O O c O O O d O O O e O O O 0 | 8c 4a 4b | Dy 0.5 Pu 0.25 Fe 0.25
